PreOptimize, final-PostOptimize, final-CreatePlan, Execute
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query050_spj/query050_spj_0.sql
0, 0, 0, 2331
0, 0, 0, 2327
0, 1, 0, 2321
0, 0, 0, 2326
0, 1, 0, 2323
0, 1, 0, 2325
0, 1, 0, 2322
0, 0, 0, 2327
0, 0, 0, 2333
0, 1, 0, 2319
0, 1, 0, 2324
0, 1, 0, 2320
0, 0, 0, 2334
0, 1, 0, 2318
0, 0, 0, 2327
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query099/query099_0.sql
1, 1, 0, 6
1, 1, 0, 6
1, 1, 0, 6
1, 1, 0, 6
1, 1, 0, 6
0, 0, 0, 6
1, 0, 0, 6
1, 0, 0, 6
0, 1, 0, 6
1, 1, 0, 6
1, 0, 0, 6
1, 1, 0, 6
1, 1, 0, 6
0, 1, 0, 6
0, 0, 0, 6
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query019/query019_0.sql
1, 1, 0, 1416
1, 0, 0, 1399
1, 0, 0, 1396
1, 0, 0, 1403
1, 0, 0, 1411
1, 0, 0, 1307
1, 0, 0, 1414
1, 0, 0, 1401
1, 0, 0, 1393
1, 0, 0, 1404
1, 1, 0, 1398
1, 0, 0, 1400
1, 0, 0, 1396
1, 1, 0, 1395
1, 0, 0, 1401
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query101_spj/query101_spj_0.sql
5, 0, 0, 34
5, 1, 0, 34
5, 1, 0, 34
5, 1, 0, 34
5, 1, 0, 34
5, 1, 0, 34
5, 1, 0, 34
5, 1, 0, 34
5, 1, 0, 34
5, 1, 0, 34
5, 1, 0, 34
5, 1, 0, 34
5, 1, 0, 34
5, 1, 0, 34
5, 0, 0, 34
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query072_spj/query072_spj_0.sql
4, 0, 0, 20
4, 0, 0, 20
4, 0, 0, 20
4, 0, 0, 20
4, 0, 0, 20
4, 0, 0, 20
4, 0, 0, 20
4, 0, 0, 20
4, 0, 0, 20
4, 0, 0, 20
4, 0, 0, 20
4, 0, 0, 20
4, 0, 0, 20
4, 0, 0, 20
4, 0, 0, 20
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query102/query102_0.sql
44, 1, 0, 36
44, 1, 0, 36
46, 1, 0, 36
44, 1, 0, 36
45, 1, 0, 36
44, 1, 0, 36
45, 1, 0, 37
45, 1, 0, 36
44, 1, 0, 36
45, 1, 0, 36
44, 1, 0, 36
45, 1, 0, 36
45, 1, 0, 36
44, 1, 0, 36
45, 1, 0, 36
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query102_spj/query102_spj_0.sql
44, 1, 0, 39
44, 1, 0, 39
45, 1, 0, 38
45, 1, 0, 39
44, 0, 0, 39
44, 1, 0, 39
44, 0, 0, 39
45, 0, 0, 38
44, 0, 0, 39
45, 1, 0, 38
45, 0, 0, 39
44, 1, 0, 38
44, 0, 0, 39
45, 1, 0, 39
46, 0, 0, 39
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query040_spj/query040_spj_0.sql
0, 0, 0, 51
0, 0, 0, 51
0, 0, 0, 51
0, 0, 0, 51
0, 0, 0, 51
0, 0, 0, 51
0, 0, 0, 51
0, 0, 0, 51
0, 0, 0, 51
0, 0, 0, 51
0, 0, 0, 51
0, 0, 0, 51
0, 0, 0, 51
0, 0, 0, 51
0, 0, 0, 51
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query027_spj/query027_spj_0.sql
0, 0, 0, 27
0, 6, 0, 27
0, 0, 0, 27
0, 0, 0, 27
0, 0, 0, 27
0, 0, 0, 27
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 27
0, 0, 0, 28
0, 0, 0, 27
0, 0, 0, 27
0, 0, 0, 27
0, 0, 0, 27
0, 0, 0, 27
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query040/query040_0.sql
0, 0, 0, 68
0, 0, 0, 68
0, 0, 0, 68
0, 0, 0, 68
0, 0, 0, 68
0, 0, 0, 68
0, 0, 0, 68
0, 0, 0, 68
0, 0, 0, 68
0, 0, 0, 68
0, 0, 0, 68
0, 0, 0, 68
0, 0, 0, 68
0, 0, 0, 68
0, 0, 0, 68
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query085/query085_0.sql
2, 0, 0, 581
2, 0, 0, 585
2, 0, 0, 581
2, 0, 0, 578
2, 0, 0, 580
2, 0, 0, 579
2, 0, 0, 582
2, 0, 0, 576
2, 0, 0, 586
2, 0, 0, 578
2, 0, 0, 581
2, 0, 0, 582
2, 0, 0, 579
2, 0, 0, 577
2, 0, 0, 584
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query013_spj/query013_spj_0.sql
1, 0, 0, 56
1, 0, 0, 56
1, 0, 0, 56
1, 0, 0, 56
1, 0, 0, 56
1, 0, 0, 56
1, 0, 0, 56
1, 0, 0, 55
1, 0, 0, 56
1, 0, 0, 56
1, 0, 0, 56
1, 0, 0, 56
1, 0, 0, 56
1, 0, 0, 56
1, 0, 0, 56
