PreOptimize, final-PostOptimize, final-CreatePlan, Execute
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query013/query013_0.sql
0, 0, 0, 24
0, 0, 0, 24
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 24
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 24
0, 0, 0, 25
0, 0, 0, 25
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query018/query018_0.sql
0, 0, 0, 393
0, 0, 0, 392
0, 0, 0, 391
0, 0, 0, 393
0, 0, 0, 393
0, 0, 0, 396
0, 0, 0, 395
0, 0, 0, 396
0, 0, 0, 392
0, 0, 0, 396
0, 0, 0, 392
0, 0, 0, 398
0, 0, 0, 390
0, 0, 0, 395
0, 0, 0, 397
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query019/query019_0.sql
0, 0, 0, 624
0, 0, 0, 626
0, 0, 0, 632
0, 0, 0, 624
0, 0, 0, 627
0, 0, 0, 627
0, 0, 0, 626
0, 0, 0, 628
0, 0, 0, 626
0, 0, 0, 626
0, 0, 0, 626
0, 0, 0, 632
0, 0, 0, 625
0, 0, 0, 627
0, 0, 0, 630
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query025/query025_0.sql
1, 0, 0, 779
1, 0, 0, 785
1, 0, 0, 775
1, 0, 0, 779
1, 0, 0, 789
1, 0, 0, 789
1, 0, 0, 788
1, 0, 0, 782
1, 0, 0, 775
1, 0, 0, 788
1, 0, 0, 779
1, 0, 0, 784
1, 0, 0, 794
1, 0, 0, 786
1, 0, 0, 788
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query027/query027_0.sql
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 12
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query040/query040_0.sql
0, 0, 0, 32
0, 0, 0, 32
0, 0, 0, 32
0, 0, 0, 32
0, 0, 0, 32
0, 0, 0, 32
0, 0, 0, 32
0, 0, 0, 31
0, 0, 0, 31
0, 0, 0, 32
0, 0, 0, 31
0, 0, 0, 32
0, 0, 0, 32
0, 0, 0, 32
0, 0, 0, 31
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query050/query050_0.sql
0, 0, 0, 10698
0, 0, 0, 10734
0, 0, 0, 10689
0, 0, 0, 10688
0, 0, 0, 10603
0, 0, 0, 10664
0, 0, 0, 10743
0, 0, 0, 10613
0, 0, 0, 10639
0, 0, 0, 10643
0, 0, 0, 10638
0, 0, 0, 10710
0, 0, 0, 10703
0, 0, 0, 10618
0, 0, 0, 10694
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query084/query084_0.sql
0, 0, 0, 122
0, 0, 0, 120
0, 0, 0, 121
0, 0, 0, 123
0, 0, 0, 119
0, 0, 0, 120
0, 0, 0, 121
0, 0, 0, 120
0, 0, 0, 122
0, 0, 0, 122
0, 0, 0, 121
0, 0, 0, 121
0, 0, 0, 121
0, 0, 0, 122
0, 0, 0, 123
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query085/query085_0.sql
1, 0, 0, 261
1, 0, 0, 257
1, 0, 0, 260
1, 0, 0, 262
1, 0, 0, 260
1, 0, 0, 259
1, 0, 0, 262
1, 0, 0, 261
1, 0, 0, 260
1, 0, 0, 258
1, 0, 0, 256
1, 0, 0, 257
1, 0, 0, 261
1, 0, 0, 263
1, 0, 0, 257
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query091/query091_0.sql
0, 0, 0, 40
0, 0, 0, 41
0, 0, 0, 40
0, 0, 0, 40
0, 0, 0, 41
0, 0, 0, 41
0, 0, 0, 41
0, 0, 0, 41
0, 0, 0, 41
0, 0, 0, 41
0, 0, 0, 41
0, 0, 0, 41
0, 0, 0, 41
0, 0, 0, 39
0, 0, 0, 41
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query099/query099_0.sql
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query100/query100_0.sql
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query101/query101_0.sql
3, 0, 0, 16
3, 0, 0, 16
3, 0, 0, 16
3, 0, 0, 16
3, 0, 0, 16
3, 0, 0, 16
3, 0, 0, 16
3, 0, 0, 16
3, 0, 0, 16
3, 0, 0, 16
3, 0, 0, 17
3, 0, 0, 16
3, 0, 0, 16
3, 0, 0, 16
3, 0, 0, 16
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query102/query102_0.sql
26, 0, 0, 16
25, 0, 0, 16
26, 0, 0, 16
25, 0, 0, 16
25, 0, 0, 16
25, 0, 0, 16
25, 0, 0, 16
25, 0, 0, 16
25, 0, 0, 16
25, 0, 0, 16
26, 0, 0, 16
25, 0, 0, 16
25, 0, 0, 16
25, 0, 0, 16
25, 0, 0, 16
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query013_spj/query013_spj_0.sql
0, 0, 0, 24
0, 0, 0, 24
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query018_spj/query018_spj_0.sql
0, 0, 0, 396
0, 0, 0, 390
0, 0, 0, 396
0, 0, 0, 392
0, 0, 0, 391
0, 0, 0, 387
0, 0, 0, 390
0, 0, 0, 394
0, 0, 0, 395
0, 0, 0, 394
0, 0, 0, 395
0, 0, 0, 396
0, 0, 0, 395
0, 0, 0, 393
0, 0, 0, 394
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query019_spj/query019_spj_0.sql
0, 0, 0, 629
0, 0, 0, 625
0, 0, 0, 630
0, 0, 0, 630
0, 0, 0, 632
0, 0, 0, 631
0, 0, 0, 628
0, 0, 0, 628
0, 0, 0, 629
0, 0, 0, 624
0, 0, 0, 624
0, 0, 0, 633
0, 0, 0, 626
0, 0, 0, 632
0, 0, 0, 631
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query025_spj/query025_spj_0.sql
1, 0, 0, 804
1, 0, 0, 809
1, 0, 0, 810
1, 0, 0, 811
1, 0, 0, 810
1, 0, 0, 810
1, 0, 0, 806
1, 0, 0, 801
1, 0, 0, 814
1, 0, 0, 801
1, 0, 0, 807
1, 0, 0, 806
1, 0, 0, 802
1, 0, 0, 807
1, 0, 0, 802
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query027_spj/query027_spj_0.sql
0, 0, 0, 11
0, 0, 0, 12
0, 0, 0, 12
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 12
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 11
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query040_spj/query040_spj_0.sql
0, 0, 0, 24
0, 0, 0, 24
0, 0, 0, 24
0, 0, 0, 24
0, 0, 0, 24
0, 0, 0, 24
0, 0, 0, 24
0, 0, 0, 24
0, 0, 0, 24
0, 0, 0, 24
0, 0, 0, 24
0, 0, 0, 24
0, 0, 0, 24
0, 0, 0, 24
0, 0, 0, 24
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query050_spj/query050_spj_0.sql
0, 0, 0, 1121
0, 0, 0, 1114
0, 0, 0, 1127
0, 0, 0, 1128
0, 0, 0, 1121
0, 0, 0, 1119
0, 0, 0, 1120
0, 0, 0, 1116
0, 0, 0, 1115
0, 0, 0, 1124
0, 0, 0, 1117
0, 0, 0, 1124
0, 0, 0, 1124
0, 0, 0, 1113
0, 0, 0, 1125
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query072_spj/query072_spj_0.sql
2, 0, 0, 9
2, 0, 0, 9
2, 0, 0, 9
2, 0, 0, 9
2, 0, 0, 9
2, 0, 0, 10
2, 0, 0, 9
2, 0, 0, 10
2, 0, 0, 9
2, 0, 0, 9
2, 0, 0, 9
2, 0, 0, 9
2, 0, 0, 9
2, 0, 0, 9
2, 0, 0, 9
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query084_spj/query084_spj_0.sql
0, 0, 0, 130
0, 0, 0, 128
0, 0, 0, 128
0, 0, 0, 128
0, 0, 0, 129
0, 0, 0, 128
0, 0, 0, 128
0, 0, 0, 128
0, 0, 0, 128
0, 0, 0, 128
0, 0, 0, 129
0, 0, 0, 128
0, 0, 0, 126
0, 0, 0, 127
0, 0, 0, 128
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query085_spj/query085_spj_0.sql
1, 0, 0, 257
1, 0, 0, 259
1, 0, 0, 255
1, 0, 0, 262
1, 0, 0, 259
1, 0, 0, 257
1, 0, 0, 260
1, 0, 0, 259
1, 0, 0, 259
1, 0, 0, 258
1, 0, 0, 260
1, 0, 0, 258
1, 0, 0, 259
1, 0, 0, 259
1, 0, 0, 256
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query091_spj/query091_spj_0.sql
0, 0, 0, 38
0, 0, 0, 39
0, 0, 0, 39
0, 0, 0, 39
0, 0, 0, 38
0, 0, 0, 39
0, 0, 0, 39
0, 0, 0, 38
0, 0, 0, 38
0, 0, 0, 39
0, 0, 0, 39
0, 0, 0, 38
0, 0, 0, 39
0, 0, 0, 39
0, 0, 0, 38
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query099_spj/query099_spj_0.sql
0, 0, 0, 3
0, 0, 0, 4
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
0, 0, 0, 3
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query100_spj/query100_spj_0.sql
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
1, 0, 0, 12
