PreOptimize, final-PostOptimize, final-CreatePlan, Execute
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query013/query013_0.sql
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 26
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
0, 0, 0, 25
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query018/query018_0.sql
0, 0, 0, 405
0, 0, 0, 404
0, 0, 0, 404
0, 0, 0, 405
0, 0, 0, 404
0, 0, 0, 401
0, 0, 0, 401
0, 0, 0, 400
0, 0, 0, 403
0, 0, 0, 399
0, 0, 0, 404
0, 0, 0, 406
0, 0, 0, 402
0, 0, 0, 401
0, 0, 0, 403
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query019/query019_0.sql
0, 0, 0, 633
0, 0, 0, 643
0, 0, 0, 641
0, 0, 0, 640
0, 0, 0, 633
0, 0, 0, 634
0, 0, 0, 644
0, 0, 0, 639
0, 0, 0, 639
0, 0, 0, 641
0, 0, 0, 633
0, 0, 0, 640
0, 0, 0, 632
0, 0, 0, 633
0, 0, 0, 641
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query025/query025_0.sql
1, 0, 0, 793
1, 0, 0, 794
1, 0, 0, 785
1, 0, 0, 798
1, 0, 0, 785
1, 0, 0, 796
1, 0, 0, 782
1, 0, 0, 794
1, 0, 0, 796
1, 0, 0, 797
1, 0, 0, 799
1, 0, 0, 790
1, 0, 0, 788
1, 0, 0, 796
1, 0, 0, 788
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query027/query027_0.sql
0, 0, 0, 11
0, 0, 0, 12
0, 0, 0, 11
0, 0, 0, 11
0, 0, 0, 12
0, 0, 0, 12
0, 0, 0, 12
0, 0, 0, 11
0, 0, 0, 12
0, 0, 0, 12
0, 0, 0, 12
0, 0, 0, 12
0, 0, 0, 12
0, 0, 0, 12
0, 0, 0, 12
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query040/query040_0.sql
0, 0, 0, 31
0, 0, 0, 32
0, 0, 0, 31
0, 0, 0, 32
0, 0, 0, 31
0, 0, 0, 31
0, 0, 0, 31
0, 0, 0, 31
0, 0, 0, 31
0, 0, 0, 31
0, 0, 0, 31
0, 0, 0, 31
0, 0, 0, 31
0, 0, 0, 31
0, 0, 0, 31
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query050/query050_0.sql
0, 0, 0, 11095
0, 0, 0, 10779
0, 0, 0, 10833
0, 0, 0, 10838
0, 0, 0, 10907
0, 0, 0, 10829
0, 0, 0, 11025
0, 0, 0, 10768
0, 0, 0, 10856
0, 0, 0, 10787
0, 0, 0, 10878
0, 0, 0, 10788
0, 0, 0, 10892
