PreOptimize, final-PostOptimize, final-CreatePlan, Execute
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql
0, 0, 0, 454
0, 0, 0, 461
0, 0, 0, 455
0, 0, 0, 454
0, 0, 0, 452
0, 0, 0, 452
0, 0, 0, 457
0, 0, 0, 451
0, 0, 0, 467
0, 0, 0, 452
0, 0, 0, 453
0, 0, 0, 453
0, 0, 0, 461
0, 0, 0, 452
0, 0, 0, 464
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql"
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql
0, 0, 0, 347
0, 0, 0, 349
0, 0, 0, 348
0, 0, 0, 350
0, 0, 0, 347
0, 0, 0, 349
0, 0, 0, 348
0, 0, 0, 357
0, 0, 0, 350
0, 0, 0, 359
0, 0, 0, 349
0, 0, 0, 352
0, 0, 0, 358
0, 0, 0, 349
0, 0, 0, 357
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql
0, 0, 0, 1077
0, 0, 0, 1077
0, 0, 0, 1081
0, 0, 0, 1072
0, 0, 0, 1073
0, 0, 0, 1070
0, 0, 0, 1088
0, 0, 0, 1074
0, 0, 0, 1073
0, 0, 0, 1072
0, 0, 0, 1073
0, 0, 0, 1068
0, 0, 0, 1075
0, 0, 0, 1075
0, 0, 0, 1084
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/11a.sql
1, 0, 0, 23
1, 0, 0, 23
1, 0, 0, 23
1, 0, 0, 23
1, 0, 0, 24
1, 0, 0, 23
1, 0, 0, 23
1, 0, 0, 23
1, 0, 0, 23
1, 0, 0, 23
1, 0, 0, 23
1, 0, 0, 23
1, 0, 0, 23
1, 0, 0, 23
1, 0, 0, 23
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/11b.sql
1, 0, 0, 48
1, 0, 0, 48
1, 0, 0, 47
1, 0, 0, 48
1, 0, 0, 47
1, 0, 0, 48
1, 0, 0, 47
1, 0, 0, 48
1, 0, 0, 48
1, 0, 0, 47
1, 0, 0, 47
1, 0, 0, 48
1, 0, 0, 48
1, 0, 0, 47
1, 0, 0, 47
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/11c.sql
1, 0, 0, 99
1, 0, 0, 107
1, 0, 0, 99
1, 0, 0, 107
1, 0, 0, 99
1, 0, 0, 99
1, 0, 0, 99
1, 0, 0, 108
1, 0, 0, 100
1, 0, 0, 107
1, 0, 0, 100
1, 0, 0, 100
1, 0, 0, 100
1, 0, 0, 99
1, 0, 0, 106
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/11d.sql
1, 0, 0, 298
1, 0, 0, 297
1, 0, 0, 298
1, 0, 0, 296
1, 0, 0, 296
1, 0, 0, 297
1, 0, 0, 295
1, 0, 0, 312
1, 0, 0, 296
1, 0, 0, 323
1, 0, 0, 323
1, 0, 0, 297
1, 0, 0, 327
1, 0, 0, 296
1, 0, 0, 298
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/12a.sql
1, 0, 0, 130
1, 0, 0, 131
1, 0, 0, 130
1, 0, 0, 132
1, 0, 0, 130
1, 0, 0, 131
1, 0, 0, 131
1, 0, 0, 131
1, 0, 0, 130
1, 0, 0, 133
1, 0, 0, 134
1, 0, 0, 131
1, 0, 0, 132
1, 0, 0, 131
1, 0, 0, 132
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/12b.sql
1, 0, 0, 168
1, 0, 0, 169
1, 0, 0, 168
1, 0, 0, 170
1, 0, 0, 168
1, 0, 0, 167
1, 0, 0, 168
1, 0, 0, 170
1, 0, 0, 167
1, 0, 0, 170
1, 0, 0, 168
1, 0, 0, 169
1, 0, 0, 168
1, 0, 0, 167
1, 0, 0, 172
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/12c.sql
1, 0, 0, 186
1, 0, 0, 184
1, 0, 0, 184
1, 0, 0, 186
1, 0, 0, 188
1, 0, 0, 184
1, 0, 0, 184
1, 0, 0, 186
1, 0, 0, 184
1, 0, 0, 185
1, 0, 0, 186
1, 0, 0, 185
1, 0, 0, 189
1, 0, 0, 184
1, 0, 0, 188
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/13a.sql
2, 0, 0, 131
2, 0, 0, 133
2, 0, 0, 132
2, 0, 0, 134
2, 0, 0, 132
2, 0, 0, 136
2, 0, 0, 134
2, 0, 0, 133
2, 0, 0, 134
2, 0, 0, 135
2, 0, 0, 134
2, 0, 0, 132
2, 0, 0, 132
2, 0, 0, 131
1, 0, 0, 131
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/13b.sql
2, 0, 0, 181
2, 0, 0, 180
2, 0, 0, 175
2, 0, 0, 175
2, 0, 0, 179
2, 0, 0, 177
2, 0, 0, 177
2, 0, 0, 179
2, 0, 0, 176
2, 0, 0, 175
2, 0, 0, 176
2, 0, 0, 176
2, 0, 0, 177
2, 0, 0, 174
2, 0, 0, 174
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/13c.sql
2, 0, 0, 154
2, 0, 0, 159
2, 0, 0, 159
2, 0, 0, 157
2, 0, 0, 157
2, 0, 0, 157
2, 0, 0, 155
2, 0, 0, 155
2, 0, 0, 158
2, 0, 0, 156
2, 0, 0, 156
2, 0, 0, 159
2, 0, 0, 155
2, 0, 0, 155
2, 0, 0, 160
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/13d.sql
2, 0, 0, 179
2, 0, 0, 177
2, 0, 0, 179
2, 0, 0, 180
2, 0, 0, 178
2, 0, 0, 180
2, 0, 0, 183
2, 0, 0, 178
2, 0, 0, 178
2, 0, 0, 181
2, 0, 0, 179
2, 0, 0, 183
2, 0, 0, 183
2, 0, 0, 180
2, 0, 0, 182
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/14a.sql
1, 0, 0, 133
1, 0, 0, 134
1, 0, 0, 133
1, 0, 0, 132
1, 0, 0, 131
1, 0, 0, 133
1, 0, 0, 132
1, 0, 0, 134
1, 0, 0, 133
1, 0, 0, 135
1, 0, 0, 135
1, 0, 0, 133
1, 0, 0, 134
1, 0, 0, 137
1, 0, 0, 135
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/14b.sql
1, 0, 0, 75
1, 0, 0, 77
1, 0, 0, 76
1, 0, 0, 77
1, 0, 0, 77
1, 0, 0, 76
1, 0, 0, 77
1, 0, 0, 76
1, 0, 0, 76
1, 0, 0, 76
1, 0, 0, 77
1, 0, 0, 76
1, 0, 0, 76
1, 0, 0, 75
1, 0, 0, 78
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/14c.sql
1, 0, 0, 252
1, 0, 0, 255
1, 0, 0, 254
1, 0, 0, 252
1, 0, 0, 254
1, 0, 0, 254
1, 0, 0, 252
1, 0, 0, 254
1, 0, 0, 255
1, 0, 0, 257
1, 0, 0, 252
1, 0, 0, 255
1, 0, 0, 252
1, 0, 0, 251
1, 0, 0, 257
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/15a.sql
3, 0, 0, 389
3, 0, 0, 391
2, 0, 0, 396
3, 0, 0, 388
3, 0, 0, 387
3, 0, 0, 386
2, 0, 0, 389
