PreOptimize, final-PostOptimize, final-CreatePlan, Execute
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql
0, 0, 0, 1197
0, 0, 0, 1203
0, 0, 0, 1219
0, 0, 0, 1196
0, 0, 0, 1221
0, 0, 0, 1196
0, 0, 0, 1215
0, 0, 0, 1195
0, 0, 0, 1198
0, 0, 0, 1201
0, 0, 0, 1225
0, 0, 0, 1199
0, 0, 0, 1222
0, 0, 0, 1197
0, 0, 0, 1213
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql
0, 0, 0, 1050
0, 0, 0, 1058
0, 0, 0, 1078
0, 0, 0, 1056
0, 0, 0, 1080
0, 0, 0, 1060
0, 0, 0, 1070
0, 0, 0, 1081
0, 0, 0, 1059
0, 0, 0, 1066
0, 0, 0, 1059
0, 0, 0, 1082
0, 0, 0, 1057
0, 0, 0, 1080
0, 0, 0, 1055
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql
0, 0, 0, 1369
0, 0, 0, 1378
0, 0, 0, 1364
0, 0, 0, 1388
0, 0, 0, 1373
0, 0, 0, 1370
0, 0, 0, 1374
0, 0, 0, 1375
0, 0, 0, 1375
0, 0, 0, 1372
0, 0, 0, 1377
0, 0, 0, 1365
0, 0, 0, 1368
0, 0, 0, 1365
0, 0, 0, 1372
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/11a.sql
1, 0, 0, 142
1, 0, 0, 142
1, 0, 0, 139
1, 0, 0, 142
1, 0, 0, 142
1, 0, 0, 141
1, 0, 0, 143
1, 0, 0, 140
1, 0, 0, 143
1, 0, 0, 141
1, 0, 0, 141
1, 0, 0, 141
1, 0, 0, 140
1, 0, 0, 141
1, 0, 0, 141
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/11b.sql
1, 0, 0, 157
1, 0, 0, 156
1, 0, 0, 155
1, 0, 0, 156
1, 0, 0, 156
1, 0, 0, 157
1, 0, 0, 155
1, 0, 0, 155
1, 0, 0, 156
1, 0, 0, 155
1, 0, 0, 155
1, 0, 0, 157
1, 0, 0, 156
1, 0, 0, 155
1, 0, 0, 156
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/11c.sql
1, 0, 0, 300
1, 0, 0, 295
1, 0, 0, 299
1, 0, 0, 295
1, 0, 0, 293
1, 0, 0, 292
1, 0, 0, 292
1, 0, 0, 299
1, 0, 0, 293
1, 0, 0, 300
1, 0, 0, 296
1, 0, 0, 298
1, 0, 0, 297
1, 0, 0, 300
1, 0, 0, 293
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/11d.sql
1, 0, 0, 707
1, 0, 0, 713
1, 0, 0, 732
1, 0, 0, 719
1, 0, 0, 736
1, 0, 0, 717
1, 0, 0, 733
1, 0, 0, 717
1, 0, 0, 736
1, 0, 0, 719
1, 0, 0, 725
1, 0, 0, 716
1, 0, 0, 737
1, 0, 0, 715
1, 0, 0, 732
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/12a.sql
1, 0, 0, 718
1, 0, 0, 715
1, 0, 0, 718
1, 0, 0, 722
1, 0, 0, 722
1, 0, 0, 725
1, 0, 0, 716
1, 0, 0, 725
1, 0, 0, 725
1, 0, 0, 724
1, 0, 0, 718
1, 0, 0, 721
1, 0, 0, 718
1, 0, 0, 727
1, 0, 0, 715
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/12b.sql
1, 0, 0, 659
1, 0, 0, 653
1, 0, 0, 664
1, 0, 0, 653
1, 0, 0, 662
1, 0, 0, 654
1, 0, 0, 659
1, 0, 0, 653
1, 0, 0, 662
1, 0, 0, 655
1, 0, 0, 660
1, 0, 0, 654
1, 0, 0, 658
1, 0, 0, 654
1, 0, 0, 661
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/12c.sql
1, 0, 0, 852
1, 0, 0, 855
1, 0, 0, 850
1, 0, 0, 847
1, 0, 0, 847
1, 0, 0, 854
1, 0, 0, 852
1, 0, 0, 856
1, 0, 0, 847
1, 0, 0, 857
1, 0, 0, 852
1, 0, 0, 858
1, 0, 0, 852
1, 0, 0, 857
1, 0, 0, 850
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/13a.sql
1, 0, 0, 757
1, 0, 0, 759
1, 0, 0, 766
1, 0, 0, 760
1, 0, 0, 765
1, 0, 0, 760
1, 0, 0, 758
1, 0, 0, 758
1, 0, 0, 759
1, 0, 0, 759
1, 0, 0, 755
1, 0, 0, 757
1, 0, 0, 753
1, 0, 0, 759
1, 0, 0, 764
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/13b.sql
1, 0, 0, 344
1, 0, 0, 343
1, 0, 0, 350
1, 0, 0, 340
1, 0, 0, 343
1, 0, 0, 344
1, 0, 0, 344
1, 0, 0, 342
1, 0, 0, 340
2, 0, 0, 345
1, 0, 0, 342
1, 0, 0, 345
2, 0, 0, 340
1, 0, 0, 341
1, 0, 0, 341
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/13c.sql
2, 0, 0, 289
1, 0, 0, 287
1, 0, 0, 289
1, 0, 0, 290
1, 0, 0, 288
2, 0, 0, 291
1, 0, 0, 289
1, 0, 0, 291
1, 0, 0, 289
1, 0, 0, 289
1, 0, 0, 289
1, 0, 0, 288
1, 0, 0, 289
1, 0, 0, 291
1, 0, 0, 289
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/13d.sql
1, 0, 0, 570
1, 0, 0, 568
1, 0, 0, 572
1, 0, 0, 572
1, 0, 0, 564
1, 0, 0, 567
1, 0, 0, 575
1, 0, 0, 574
1, 0, 0, 569
1, 0, 0, 568
1, 0, 0, 566
1, 0, 0, 569
1, 0, 0, 565
1, 0, 0, 572
1, 0, 0, 572
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/14a.sql
1, 0, 0, 887
1, 0, 0, 891
1, 0, 0, 894
1, 0, 0, 893
1, 0, 0, 886
1, 0, 0, 894
1, 0, 0, 891
1, 0, 0, 891
1, 0, 0, 889
1, 0, 0, 895
1, 0, 0, 893
1, 0, 0, 890
1, 0, 0, 895
1, 0, 0, 892
1, 0, 0, 891
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/14b.sql
1, 0, 0, 868
1, 0, 0, 867
1, 0, 0, 869
1, 0, 0, 868
1, 0, 0, 874
1, 0, 0, 868
1, 0, 0, 869
1, 0, 0, 870
1, 0, 0, 872
1, 0, 0, 869
1, 0, 0, 871
1, 0, 0, 870
1, 0, 0, 869
1, 0, 0, 869
1, 0, 0, 875
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/14c.sql
1, 0, 0, 964
1, 0, 0, 969
1, 0, 0, 969
1, 0, 0, 965
1, 0, 0, 970
1, 0, 0, 968
1, 0, 0, 972
1, 0, 0, 965
1, 0, 0, 972
1, 0, 0, 983
1, 0, 0, 971
1, 0, 0, 980
1, 0, 0, 969
1, 0, 0, 979
1, 0, 0, 969
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/15a.sql
2, 0, 0, 775
2, 0, 0, 782
2, 0, 0, 770
2, 0, 0, 779
2, 0, 0, 764
2, 0, 0, 760
2, 0, 0, 772
2, 0, 0, 763
2, 0, 0, 782
2, 0, 0, 758
2, 0, 0, 759
2, 0, 0, 779
2, 0, 0, 778
2, 0, 0, 761
2, 0, 0, 778
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/15b.sql
2, 0, 0, 753
2, 0, 0, 771
2, 0, 0, 762
2, 0, 0, 771
2, 0, 0, 761
2, 0, 0, 772
2, 0, 0, 761
2, 0, 0, 773
2, 0, 0, 775
2, 0, 0, 753
2, 0, 0, 774
2, 0, 0, 773
2, 0, 0, 771
2, 0, 0, 771
2, 0, 0, 782
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/15c.sql
2, 0, 0, 996
2, 0, 0, 983
2, 0, 0, 978
2, 0, 0, 983
2, 0, 0, 975
2, 0, 0, 985
2, 0, 0, 980
2, 0, 0, 984
2, 0, 0, 980
2, 0, 0, 995
2, 0, 0, 982
2, 0, 0, 980
2, 0, 0, 981
2, 0, 0, 995
2, 0, 0, 986
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/15d.sql
2, 0, 0, 626
2, 0, 0, 634
2, 0, 0, 632
2, 0, 0, 636
2, 0, 0, 632
2, 0, 0, 632
2, 0, 0, 630
2, 0, 0, 631
2, 0, 0, 630
2, 0, 0, 633
2, 0, 0, 635
2, 0, 0, 632
2, 0, 0, 647
2, 0, 0, 632
2, 0, 0, 631
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/16a.sql
1, 0, 0, 494
1, 0, 0, 491
1, 0, 0, 489
1, 0, 0, 489
1, 0, 0, 492
1, 0, 0, 491
1, 0, 0, 495
1, 0, 0, 490
1, 0, 0, 493
1, 0, 0, 494
1, 0, 0, 490
1, 0, 0, 494
1, 0, 0, 490
1, 0, 0, 496
1, 0, 0, 491
