PreOptimize, final-PostOptimize, final-CreatePlan, Execute
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql
0, 0, 0, 1165
0, 0, 0, 1173
0, 0, 0, 1152
0, 0, 0, 1156
0, 0, 0, 1153
0, 0, 0, 1181
0, 0, 0, 1148
0, 0, 0, 1187
0, 0, 0, 1152
0, 0, 0, 1149
0, 0, 0, 1153
0, 0, 0, 1151
0, 0, 0, 1168
0, 0, 0, 1155
0, 0, 0, 1153
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql
0, 0, 0, 1070
0, 0, 0, 1064
0, 0, 0, 1064
0, 0, 0, 1058
0, 0, 0, 1060
0, 0, 0, 1057
0, 0, 0, 1042
0, 0, 0, 1050
0, 0, 0, 1068
0, 0, 0, 1048
0, 0, 0, 1077
0, 0, 0, 1050
0, 0, 0, 1050
0, 0, 0, 1053
0, 0, 0, 1064
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql
0, 0, 0, 1356
0, 0, 0, 1360
0, 0, 0, 1387
0, 0, 0, 1377
0, 0, 0, 1363
0, 0, 0, 1366
0, 0, 0, 1363
0, 0, 0, 1363
0, 0, 0, 1385
0, 0, 0, 1363
0, 0, 0, 1389
0, 0, 0, 1361
0, 0, 0, 1362
0, 0, 0, 1359
0, 0, 0, 1361
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/11a.sql
1, 0, 0, 145
1, 0, 0, 146
1, 0, 0, 146
1, 0, 0, 147
1, 0, 0, 146
1, 0, 0, 146
1, 0, 0, 147
1, 0, 0, 146
1, 0, 0, 147
1, 0, 0, 145
1, 0, 0, 145
1, 0, 0, 145
1, 0, 0, 145
1, 0, 0, 146
1, 0, 0, 146
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/11b.sql
1, 0, 0, 158
1, 0, 0, 157
1, 0, 0, 157
1, 0, 0, 158
1, 0, 0, 158
1, 0, 0, 158
1, 0, 0, 158
1, 0, 0, 157
1, 0, 0, 157
1, 0, 0, 158
1, 0, 0, 158
1, 0, 0, 158
1, 0, 0, 158
1, 0, 0, 160
1, 0, 0, 157
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/11c.sql
1, 0, 0, 301
1, 0, 0, 300
1, 0, 0, 293
1, 0, 0, 294
1, 0, 0, 296
1, 0, 0, 295
1, 0, 0, 296
1, 0, 0, 300
1, 0, 0, 294
1, 0, 0, 294
1, 0, 0, 296
1, 0, 0, 294
1, 0, 0, 294
1, 0, 0, 294
1, 0, 0, 300
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/11d.sql
1, 0, 0, 703
1, 0, 0, 733
1, 0, 0, 710
1, 0, 0, 708
1, 0, 0, 712
1, 0, 0, 710
1, 0, 0, 707
1, 0, 0, 716
1, 0, 0, 706
1, 0, 0, 702
1, 0, 0, 713
1, 0, 0, 702
1, 0, 0, 711
1, 0, 0, 706
1, 0, 0, 710
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/12a.sql
1, 0, 0, 730
1, 0, 0, 732
1, 0, 0, 732
1, 0, 0, 731
1, 0, 0, 734
1, 0, 0, 735
1, 0, 0, 733
1, 0, 0, 732
1, 0, 0, 737
1, 0, 0, 735
1, 0, 0, 732
1, 0, 0, 737
1, 0, 0, 745
1, 0, 0, 730
1, 0, 0, 730
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/12b.sql
1, 0, 0, 644
1, 0, 0, 645
1, 0, 0, 643
1, 0, 0, 643
1, 0, 0, 649
1, 0, 0, 642
1, 0, 0, 647
1, 0, 0, 649
1, 0, 0, 648
1, 0, 0, 645
1, 0, 0, 657
1, 0, 0, 646
1, 0, 0, 654
1, 0, 0, 648
1, 0, 0, 645
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/12c.sql
1, 0, 0, 895
1, 0, 0, 885
1, 0, 0, 890
1, 0, 0, 901
1, 0, 0, 891
1, 0, 0, 885
1, 0, 0, 888
1, 0, 0, 883
1, 0, 0, 892
1, 0, 0, 892
1, 0, 0, 886
1, 0, 0, 891
1, 0, 0, 892
1, 0, 0, 892
1, 0, 0, 887
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/13a.sql
1, 0, 0, 744
1, 0, 0, 756
1, 0, 0, 751
1, 0, 0, 744
1, 0, 0, 750
1, 0, 0, 755
1, 0, 0, 754
1, 0, 0, 756
1, 0, 0, 756
1, 0, 0, 743
1, 0, 0, 749
1, 0, 0, 758
1, 0, 0, 747
1, 0, 0, 762
2, 0, 0, 748
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/13b.sql
1, 0, 0, 342
1, 0, 0, 344
1, 0, 0, 344
1, 0, 0, 339
1, 0, 0, 341
1, 0, 0, 346
1, 0, 0, 341
1, 0, 0, 341
1, 0, 0, 345
1, 0, 0, 342
2, 0, 0, 340
1, 0, 0, 339
1, 0, 0, 341
1, 0, 0, 346
1, 0, 0, 346
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/13c.sql
