PreOptimize, final-PostOptimize, final-CreatePlan, Execute
execute /home/pei/Project/benchmarks/tpcds-kit/tools/1_instance_out_duckdb/1/query3/query3_0.sql
0, 0, 0, 69
0, 0, 0, 70
0, 0, 0, 69
0, 0, 0, 68
0, 0, 0, 68
0, 0, 0, 66
0, 0, 0, 67
0, 0, 0, 68
0, 0, 0, 69
0, 0, 0, 65
0, 0, 0, 66
0, 0, 0, 68
0, 0, 0, 66
0, 0, 0, 66
0, 0, 0, 67
execute /home/pei/Project/benchmarks/tpcds-kit/tools/1_instance_out_duckdb/1/query17/query17_0.sql
1, 0, 0, 107
1, 0, 0, 107
1, 0, 0, 109
1, 0, 0, 109
1, 0, 0, 108
1, 0, 0, 109
1, 0, 0, 110
1, 0, 0, 110
1, 0, 0, 108
1, 0, 0, 107
1, 0, 0, 109
1, 0, 0, 108
1, 0, 0, 107
1, 0, 0, 107
1, 0, 0, 107
execute /home/pei/Project/benchmarks/tpcds-kit/tools/1_instance_out_duckdb/1/query18/query18_0.sql
0, 0, 0, 55
0, 0, 0, 57
0, 0, 0, 57
0, 0, 0, 55
0, 0, 0, 54
0, 0, 0, 56
0, 0, 0, 55
0, 0, 0, 57
0, 0, 0, 55
0, 0, 0, 55
0, 0, 0, 56
0, 0, 0, 55
0, 0, 0, 56
0, 0, 0, 57
0, 0, 0, 56
execute /home/pei/Project/benchmarks/tpcds-kit/tools/1_instance_out_duckdb/1/query19/query19_0.sql
0, 0, 0, 83
0, 0, 0, 86
0, 0, 0, 83
0, 0, 0, 85
0, 0, 0, 89
0, 0, 0, 83
0, 0, 0, 83
0, 0, 0, 84
0, 0, 0, 85
0, 0, 0, 82
0, 0, 0, 83
0, 0, 0, 86
0, 0, 0, 83
0, 0, 0, 85
0, 0, 0, 86
execute /home/pei/Project/benchmarks/tpcds-kit/tools/1_instance_out_duckdb/1/query22/query22_0.sql
0, 0, 0, 921
0, 0, 0, 877
0, 0, 0, 915
0, 0, 0, 884
0, 0, 0, 917
0, 0, 0, 915
0, 0, 0, 931
0, 0, 0, 927
0, 0, 0, 862
0, 0, 0, 922
0, 0, 0, 881
0, 0, 0, 915
0, 0, 0, 917
0, 0, 0, 862
0, 0, 0, 916
execute /home/pei/Project/benchmarks/tpcds-kit/tools/1_instance_out_duckdb/1/query25/query25_0.sql
1, 0, 0, 36
1, 0, 0, 36
1, 0, 0, 37
1, 0, 0, 36
